defect_id,reported_at,reported_by_source,module,severity,status,asset_id,location_id,short_description
BUG000001,2025-08-18 09:32:36,Integration,Reporting,High,Resolved,,,Duplicate records in export
BUG000002,2024-05-18 16:33:03,Internal User,Inventory,Critical,In Review,,,Mobile form validation error
BUG000003,2025-11-16 05:08:52,Permissions,Mobile Sync,High,Resolved,AST001126,LOC0013,Date parsing issue during import
BUG000004,2024-02-02 00:42:54,Data Quality,Work Orders,Medium,Resolved,AST000414,,Barcode scan fails intermittently
BUG000005,2024-04-03 23:40:35,Field Mobile,Assets,Low,Resolved,AST001003,,Mobile form validation error
BUG000006,2025-07-29 01:48:43,Data Quality,Work Orders,Medium,Resolved,AST000366,LOC0023,WO status not updating
BUG000007,2024-12-18 07:32:34,Integration,Inventory,Medium,Resolved,AST000813,,Mobile form validation error
BUG000008,2024-10-16 10:35:09,Integration,Reporting,High,Resolved,AST001178,,Login timeout / session issue
BUG000009,2025-09-02 00:04:08,Integration,Work Orders,Low,In Review,AST000524,,Report filter returns empty
BUG000010,2025-05-06 19:58:55,Permissions,Reporting,Low,Resolved,AST000157,,Barcode scan fails intermittently
BUG000011,2024-06-03 07:24:20,Internal User,Mobile Sync,Medium,Resolved,AST000007,,Date parsing issue during import
BUG000012,2025-10-07 09:01:41,Data Quality,Mobile Sync,Medium,Resolved,AST001089,,Report filter returns empty
BUG000013,2024-12-04 05:25:58,Data Quality,Assets,Low,Resolved,AST000465,,Duplicate records in export
BUG000014,2024-10-17 02:15:00,Integration,Work Orders,Medium,Resolved,,,Login timeout / session issue
BUG000015,2024-04-21 13:59:39,Field Mobile,Assets,Low,Resolved,AST000066,,Report filter returns empty
BUG000016,2024-10-19 07:20:52,Data Quality,Work Orders,Critical,Open,,LOC0018,Date parsing issue during import
BUG000017,2024-12-08 00:19:29,Data Quality,Assets,High,Resolved,AST000480,,Barcode scan fails intermittently
BUG000018,2025-10-24 15:33:32,Integration,Mobile Sync,Low,Resolved,AST000747,LOC0014,Mobile form validation error
BUG000019,2024-06-21 16:11:47,Permissions,Work Orders,Medium,Resolved,AST001127,LOC0011,Sync conflict on offline mode
BUG000020,2025-03-24 23:55:28,Field Mobile,User Access,Low,Won't Fix,,,Mobile form validation error
BUG000021,2025-09-22 16:52:01,Field Mobile,Work Orders,High,In Review,AST000308,,Report filter returns empty
BUG000022,2024-03-15 10:05:59,Permissions,Reporting,High,Resolved,AST001184,,Sync conflict on offline mode
BUG000023,2025-02-18 15:00:49,Permissions,Assets,Medium,Resolved,AST000221,,Incorrect priority mapping
BUG000024,2025-05-01 16:36:52,Internal User,Mobile Sync,Low,In Review,AST000165,,Sync conflict on offline mode
BUG000025,2025-05-14 19:51:15,Field Mobile,Inventory,Low,Won't Fix,AST000978,,Date parsing issue during import
BUG000026,2024-04-11 10:19:07,Field Mobile,Reporting,High,In Review,,,Report filter returns empty
BUG000027,2025-05-24 07:32:05,Field Mobile,Work Orders,Medium,Open,AST000463,,Incorrect priority mapping
BUG000028,2024-08-21 03:14:18,Field Mobile,Reporting,Critical,Open,AST000557,,Duplicate records in export
BUG000029,2025-06-28 03:13:57,Integration,Assets,Low,Resolved,,,Date parsing issue during import
BUG000030,2024-06-04 03:54:53,Field Mobile,Assets,High,Resolved,,,Incorrect priority mapping
